
The Tor BSD Diversity Project
https://torbsd.github.io/
Network Diversity Statistics Reports

Report Date: Fri Jun 30 20:24:01 UTC 2017
Data Source: https://onionoo.torproject.org

NETWORK BANDWIDTH BY AUTONOMOUS SYSTEM NAME

AS_NAME (count)                                          BANDWIDTH
Aura Fiber OE A/S (1)                                    313899.0 (0.0%)
senseLAN GmbH (1)                                        313396.0 (0.0%)
EBL Global Networks, Inc. (1)                            307683.0 (0.0%)
Hringdu ehf (1)                                          305370.0 (0.0%)
ENTEGA Medianet GmbH (2)                                 304416.0 (0.0%)
Cogeco Cable (1)                                         298706.0 (0.0%)
SECURED SERVERS LLC (1)                                  298273.0 (0.0%)
htp GmbH (1)                                             297013.0 (0.0%)
The Corporation for Financing & Promoting Technolo (5)   294989.0 (0.0%)
T-2, d.o.o. (1)                                          293937.0 (0.0%)
FIBERNETICS CORPORATION (1)                              288165.0 (0.0%)
Windstream Communications Inc (2)                        287824.0 (0.0%)
Cablelynx (1)                                            283172.0 (0.0%)
Primus Telecommunications (2)                            280977.0 (0.0%)
ServiHosting Networks S.L. (1)                           277048.0 (0.0%)
Lightup Network Solutions GmbH & Co. KG (3)              275744.0 (0.0%)
Casablanca INT (1)                                       261379.0 (0.0%)
INEA S.A. (1)                                            259929.0 (0.0%)
TM Net, Internet Service Provider (1)                    254196.0 (0.0%)
DISTRIBUTEL COMMUNICATIONS LTD. (1)                      253647.0 (0.0%)
National Internet Backbone (1)                           253609.0 (0.0%)
UGMK-Telecom LLC (1)                                     252358.0 (0.0%)
TELEKOM SRBIJA a.d. (1)                                  252350.0 (0.0%)
iTools JSC (1)                                           252041.0 (0.0%)
Northwestel Inc. (1)                                     251904.0 (0.0%)
Lightwave Networking, LLC (1)                            251888.0 (0.0%)
Ratt Internet Kapacitet i Sverige AB (1)                 249942.0 (0.0%)
California State University, Office of the Chancel (1)   248765.0 (0.0%)
Logitus Sp. z o.o. (1)                                   247808.0 (0.0%)
Mediacom Communications Corp (1)                         247628.0 (0.0%)
Gigas Hosting S.A. (1)                                   247441.0 (0.0%)
Hathway IP Over Cable Internet (1)                       246784.0 (0.0%)
TAL.DE Klaus Internet Service GmbH (2)                   240612.0 (0.0%)
CABLEVISION S.A. (1)                                     239064.0 (0.0%)
Telecel S.A. (1)                                         236987.0 (0.0%)
Digital United Inc. (1)                                  233499.0 (0.0%)
Hacettepe Universitesi (1)                               232473.0 (0.0%)
Exa Networks Limited (1)                                 230459.0 (0.0%)
CABO SERVICOS DE TELECOMUNICACOES LTDA (1)               228682.0 (0.0%)
Biddeford Internet Corp (2)                              226797.0 (0.0%)
Softbank BB Corp. (3)                                    224463.0 (0.0%)
Origin Broadband Limited (1)                             222631.0 (0.0%)
OOO Post ltd (1)                                         214016.0 (0.0%)
IE Kazakov Aleksey Dmitrievich (1)                       213772.0 (0.0%)
TRICOM (1)                                               209324.0 (0.0%)
NextGenTel AS (2)                                        204487.0 (0.0%)
Wobcom GmbH (3)                                          199995.0 (0.0%)
OPTINET (3)                                              190047.0 (0.0%)
HL komm Telekommunikations GmbH (1)                      184069.0 (0.0%)
CYBERSERVICE Internetdienstleistungs GmbH (1)            182317.0 (0.0%)
MDlink online service center GmbH (1)                    175821.0 (0.0%)
Sonic Telecom LLC (2)                                    173280.0 (0.0%)
Tiscali SpA (2)                                          172122.0 (0.0%)
VSE NET GmbH (1)                                         168092.0 (0.0%)
JAB Wireless, INC. (1)                                   167161.0 (0.0%)
RFTkabel Brandenburg GmbH (1)                            165806.0 (0.0%)
Fundacao para a Ciencia e a Tecnologia, I.P. (1)         161319.0 (0.0%)
WestPAnet, Inc. (1)                                      160815.0 (0.0%)
ELEMENTMEDIA GmbH (1)                                    158646.0 (0.0%)
Midcontinent Communications (1)                          157807.0 (0.0%)
AMSNET Andrzej Szreter (1)                               157619.0 (0.0%)
LLC Columbia-Telecom (1)                                 157434.0 (0.0%)
Site LLC (1)                                             154922.0 (0.0%)
Mulgin Alexander Sergeevich (1)                          153600.0 (0.0%)
Rychly drat, s.r.o. (1)                                  152501.0 (0.0%)
Cable One, Inc. (1)                                      152218.0 (0.0%)
Serverel Corp (1)                                        148480.0 (0.0%)
Wintek Corporation (1)                                   142607.0 (0.0%)
Agence Tunisienne d'Internet (1)                         137216.0 (0.0%)
FortressITX (1)                                          136546.0 (0.0%)
ITISINTERNET (1)                                         135167.0 (0.0%)
Unified Layer (1)                                        135151.0 (0.0%)
Gtd Internet S.A. (1)                                    133916.0 (0.0%)
Kangaroot BVBA (1)                                       132665.0 (0.0%)
Patrik Lagerman WEB, Enskild Firma (1)                   132096.0 (0.0%)
manitu GmbH (1)                                          130052.0 (0.0%)
Suddenlink Communications (1)                            130011.0 (0.0%)
Tyfon (1)                                                129834.0 (0.0%)
Luxembourg Online S.A. (1)                               129528.0 (0.0%)
ODERLAND Webbhotell AB (1)                               129189.0 (0.0%)
Synergy Internet Services Florida (1)                    128062.0 (0.0%)
Emery Telcom (1)                                         126939.0 (0.0%)
Avensys Networks Ltd (1)                                 126198.0 (0.0%)
Vienna University Computer Center (1)                    125889.0 (0.0%)
Corporate Colocation Inc. (1)                            124870.0 (0.0%)
IT7 Networks Inc (1)                                     124539.0 (0.0%)
Tunisia BackBone AS (1)                                  124267.0 (0.0%)
Nexinto GmbH (1)                                         122880.0 (0.0%)
Individual Entrepreneur Tetiana Markova (1)              122010.0 (0.0%)
BEK Communications Cooperative (1)                       120326.0 (0.0%)
ANGANI-AS (1)                                            120141.0 (0.0%)
Bergon Internet Ltd. (1)                                 119808.0 (0.0%)
Metroset (1)                                             119645.0 (0.0%)
ImproWare AG (1)                                         119122.0 (0.0%)
Tarr Kft. (1)                                            118675.0 (0.0%)
SWITCH (1)                                               118594.0 (0.0%)
ADAMANT, Ltd. (1)                                        118524.0 (0.0%)
EastLink (1)                                             118198.0 (0.0%)
LigaLink, Ltd. (1)                                       118091.0 (0.0%)
Cable & Wireless UK P.U.C. (1)                           117293.0 (0.0%)
Telefonica Data S.A. (1)                                 117224.0 (0.0%)
TELE AG (1)                                              116736.0 (0.0%)
Elkdata OU (1)                                           116687.0 (0.0%)
Prima S.A. (1)                                           116339.0 (0.0%)
BITel Gesellschaft fuer Telekommunikation mbH (1)        115627.0 (0.0%)
Princeton University (1)                                 114853.0 (0.0%)
Hot-Net internet services Ltd. (1)                       114688.0 (0.0%)
Digiweb ltd (1)                                          114579.0 (0.0%)
OAO Osnova Telecom (1)                                   114324.0 (0.0%)
Exetel Pty Ltd (2)                                       114154.0 (0.0%)
Microplex PTY LTD (1)                                    113161.0 (0.0%)
Teleradiocompany Teleos-1 Ltd (1)                        113078.0 (0.0%)
mywire Datentechnik GmbH (1)                             111390.0 (0.0%)
Binariang Berhad (1)                                     110592.0 (0.0%)
Cable & Wireless Access Limited (1)                      110156.0 (0.0%)
Balnet Ltd. (1)                                          109495.0 (0.0%)
INSYS LLC (1)                                            109341.0 (0.0%)
Closed Joint Stock Company CROC incorporated (1)         107627.0 (0.0%)
MILLICOM CABLE COSTA RICA S.A. (1)                       104934.0 (0.0%)
CenturyTel Internet Holdings, Inc. (1)                   102920.0 (0.0%)
Afrihost (1)                                             102911.0 (0.0%)
Vodafone-panafon Hellenic Telecommunications Compa (1)   102477.0 (0.0%)
Ymobile Corporation (1)                                  100938.0 (0.0%)
OOO Bryansk Svyaz-TV (1)                                 99064.0 (0.0%)
Source XS B.V. (1)                                       94095.0 (0.0%)
FASTER CZ spol. s r.o. (1)                               93611.0 (0.0%)
ManagedWay (1)                                           93325.0 (0.0%)
TelemaxX Telekommunikation GmbH (1)                      93184.0 (0.0%)
ConSol Consulting & Solutions Software GmbH (1)          92767.0 (0.0%)
Pishgaman Toseeh Ertebatat Company (Private Joint  (1)   92160.0 (0.0%)
Ruscom Ltd. (1)                                          91931.0 (0.0%)
NSS S.A. (1)                                             89162.0 (0.0%)
mitko.com Eood (1)                                       89119.0 (0.0%)
Panix Network Information Center (1)                     88199.0 (0.0%)
KSS-Telecom OOO (1)                                      87632.0 (0.0%)
BIZNET NETWORKS (1)                                      86533.0 (0.0%)
AlpineDC SA (1)                                          86226.0 (0.0%)
Oricom Internet (1)                                      84992.0 (0.0%)
Trgovsko radiodifuzno drustvo kablovska televizija (1)   83968.0 (0.0%)
Kcom (1)                                                 83395.0 (0.0%)
RCL CJSC (1)                                             82521.0 (0.0%)
Sc Cloud Troopers International Srl (1)                  81920.0 (0.0%)
Intek-M LLC (1)                                          81920.0 (0.0%)
KhmelnitskInfocom LTD (1)                                80652.0 (0.0%)
LLC Teledyne Systems Limited (1)                         80410.0 (0.0%)
NetNet (1)                                               79577.0 (0.0%)
BIGLOBE Inc. (1)                                         77824.0 (0.0%)
McGill University (1)                                    75439.0 (0.0%)
Milleni.com (1)                                          71680.0 (0.0%)
Call Flow Solutions Ltd (1)                              70658.0 (0.0%)
Moselle Telecom (1)                                      69632.0 (0.0%)
N.Nikolov Ltd (1)                                        69257.0 (0.0%)
PJSC MegaFon (2)                                         69082.0 (0.0%)
LLC PioneerNet (1)                                       66109.0 (0.0%)
Manche Telecom (1)                                       65536.0 (0.0%)
JEFFERSON CO. CABLE, INC. (1)                            65429.0 (0.0%)
Telemar Norte Leste S.A. (1)                             64512.0 (0.0%)
Firm BALTTELEKOM (1)                                     63918.0 (0.0%)
GOSTARESH-E-ERTEBATAT-E MABNA COMPANY (Private Joi (1)   62464.0 (0.0%)
CityLanCom LTD (1)                                       62464.0 (0.0%)
PT Telekomunikasi Indonesia (2)                          62312.0 (0.0%)
H88 S.A. (1)                                             60596.0 (0.0%)
ennit server GmbH (1)                                    59658.0 (0.0%)
Cutting Edge Communications, Inc. (1)                    59392.0 (0.0%)
Pakistan Telecom Company Limited (1)                     58683.0 (0.0%)
JSC Vostoktelecom (1)                                    58368.0 (0.0%)
Administracion Nacional de Telecomunicaciones (1)        56933.0 (0.0%)
COMCEL GUATEMALA S.A. (1)                                56883.0 (0.0%)
Telecom Argentina S.A. (1)                               55905.0 (0.0%)
Universidad Nacional Autonoma de Mexico (1)              55747.0 (0.0%)
ISP Fregat Ltd. (1)                                      55296.0 (0.0%)
Forthnet (1)                                             53179.0 (0.0%)
Information Technology Company (ITC) (1)                 47104.0 (0.0%)
012 Smile Communications LTD. (1)                        45588.0 (0.0%)
Palestine Telecommunications Company (PALTEL) (1)        43008.0 (0.0%)
HeLi NET Telekommunication GmbH & Co. (1)                40960.0 (0.0%)
PT. Mediatama Telematika Nusantara (1)                   35928.0 (0.0%)
PP MainStream (1)                                        19586.0 (0.0%)
Starnet Servicii SRL (1)                                 0.0 (0.0%)
CONECTA LTDA. (1)                                        0.0 (0.0%)


Copyright (C) 2017 by Tor Diversity Project <tdp@nycbug.org>
All Rights Reserved.

Released under an ISC license; see the GitHub repository
for details at https://github.com/torbsd/tdp-onion-stats
